	start	end	date_assessment	deviceid	enum_id	facility_name	facility_type	facility_status	current_oblast	current_raion	current_village	gps_work	gpslocation	_gpslocation_latitude	_gpslocation_longitude	_gpslocation_altitude	_gpslocation_precision	location_manual	_id	_uuid	_submission_time	_index
0	2017-06-02T11:00:17.877+03	2017-06-02T11:01:03.510+03	2017-06-02	354619079753785	Siev_01	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Peredilske	Yes	48.74882287587743 39.15306309919239 57.873998834924976 16.0	48.7488228759	39.1530630992	57.8739988349	16.0		4007565	c08bea99-e89b-411d-8408-299df5cf8eab	2017-06-02T12:59:23	1
1	2017-06-02T10:53:56.809+03	2017-06-02T10:56:34.700+03	2017-06-02	354619079753785	Siev_01	Почта	Post office	Active / operating	Luhanska	Stanychno-Luhanskyi	Peredilske	Yes	48.75158702322449 39.15125322561655 40.621888500750444 24.0	48.7515870232	39.1512532256	40.6218885008	24.0		4007564	60e7f2c6-18d8-4a5e-b7ca-93f70df2a56a	2017-06-02T12:59:22	2
2	2017-05-31T13:38:09.095+03	2017-05-31T13:39:54.290+03	2017-05-31	354619079752720	SIEV_05	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Valuiske	Yes	48.6551689 39.5596832 0.0 72.9	48.6551689	39.5596832	0.0	72.9		3976191	dfb1fc6c-1b5b-4e15-92f3-567fbb4c34ae	2017-05-31T14:34:35	3
3	2017-05-31T11:17:59.921+03	2017-05-31T11:20:38.540+03	2017-05-31	354619079752720	Siev_05	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Valuiske	No						Советская 52 а	3976187	5f488633-f585-41e0-bb99-20684b5ca15a	2017-05-31T14:34:33	4
4	2017-05-31T11:50:22.715+03	2017-05-31T11:51:10.136+03	2017-05-31	354619078917803	Siev_02	Почта	Post office	Active / operating	Luhanska	Stanychno-Luhanskyi	Valuiske	Yes	48.677702719305444 39.536777800237246 81.35989003506079 16.0	48.6777027193	39.5367778002	81.3598900351	16.0		3976099	95562f7b-e788-4211-94c4-5e9f223a2913	2017-05-31T14:29:30	5
5	2017-06-08T08:13:28.843+03	2017-06-08T08:15:10.661+03	2017-06-08	354619079757273	Slov 003	Магазин хозтовары	Supermarket	Active / operating	Donetska	Marinskyi	Heorhiivka	Yes	47.96379824934256 37.43960440144969 175.05808299564393 24.0	47.9637982493	37.4396044014	175.058082996	24.0		4094076	f5ffd738-9898-475d-971c-45efef9ab8c6	2017-06-08T08:32:52	6
6	2017-06-08T08:15:17.060+03	2017-06-08T08:16:57.110+03	2017-06-08	354619079757273	Slov 003	Магазин  ПРОДУКТЫ	Supermarket	Active / operating	Donetska	Marinskyi	Heorhiivka	Yes	47.96371865116769 37.43946427036728 172.6802548110983 32.0	47.9637186512	37.4394642704	172.680254811	32.0		4094077	1a679d0d-5824-4b45-a43a-31205c0d80ed	2017-06-08T08:32:53	7
7	2017-06-08T09:39:27.378+03	2017-06-08T09:40:20.884+03	2017-06-08	354619079757273	Slov 003	Магазин продукты	Supermarket	Active / operating	Donetska	Marinskyi	Heorhiivka	Yes	47.96575375993433 37.43165683219262 153.56107996142302 32.0	47.9657537599	37.4316568322	153.561079961	32.0		4094079	8af5dc64-53c4-4848-8dae-348cdfad8991	2017-06-08T08:32:56	8
8	2017-06-08T08:49:02.881+03	2017-06-08T08:49:51.007+03	2017-06-08	354619079756564	Slov 004	Продукты	Supermarket	Active / operating	Donetska	Marinskyi	Pobieda	Yes	47.9167010786556 37.46129065952832 197.46754927742785 64.0	47.9167010787	37.4612906595	197.467549277	64.0		4094029	4ec8c1f5-4cea-4e88-8eb8-22dcc41ae396	2017-06-08T08:28:28	9
9	2017-06-02T10:21:33.590+03	2017-06-02T10:22:33.011+03	2017-06-02	354619079753785	Siev_01	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Peredilske	Yes	48.75986621946959 39.1448002492161 51.127085950979016 16.0	48.7598662195	39.1448002492	51.127085951	16.0		4007560	165b0a74-c959-4c84-a52a-6e2294ab5ce5	2017-06-02T12:59:20	10
10	2017-06-02T12:22:43.353+03	2017-06-02T12:25:18.562+03	2017-06-02	354619078917910	SIEV_04	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Artema	Yes	48.78824228516177 39.30793495510737 -68.69848315732364 16.0	48.7882422852	39.3079349551	-68.6984831573	16.0		4007447	0e4c8e57-e756-4f2b-9e7e-22ad5c8b42b1	2017-06-02T12:48:41	11
11	2017-06-02T11:37:22.220+03	2017-06-02T11:38:32.457+03	2017-06-02	354619078917910	SIEV_04	Магазин	Supermarket	Active / operating	Luhanska	Stanychno-Luhanskyi	Nyzhnoteple	Yes	48.79654691868025 39.34701564639163 61.56307940631025 8.0	48.7965469187	39.3470156464	61.5630794063	8.0		4007445	f7a2f30e-0b70-40f9-9ce4-d616631be00d	2017-06-02T12:48:39	12
12	2017-05-17T11:55:28.654+03	2017-05-17T11:58:23.580+03	2017-05-17	354619079753736	Slav05	Коммунальное предприятие Веста	Government building	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43621811274866 38.22491286889456 220.25065072932307 12.0	48.4362181127	38.2249128689	220.250650729	12.0		3698054	79efa4f0-45f7-4de3-864a-3e6ae60f231f	2017-05-17T11:38:19	13
13	2017-05-17T10:37:52.082+03	2017-05-17T10:39:35.959+03	2017-05-17	354619079757273	Slov 003	Магазин быттехника	Supermarket	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.432607382645294 38.21935584823851 215.56957594676706 12.0	48.4326073826	38.2193558482	215.569575947	12.0		3698763	0228099e-1dcc-4ef9-b709-f9b84ddd24ea	2017-05-17T12:26:28	14
14	2017-05-17T10:40:34.575+03	2017-05-17T10:41:59.244+03	2017-05-17	354619079757273	Slov 003	Гастроном	Supermarket	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43256375145085 38.21932424619947 180.3678136254346 32.0	48.4325637515	38.2193242462	180.367813625	32.0		3698765	8447d629-74bb-4280-8a9b-7b2eae15a06c	2017-05-17T12:26:30	15
15	2017-05-17T10:43:07.214+03	2017-05-17T10:44:41.769+03	2017-05-17	354619079757273	Slov 003	Строй материалы	Supermarket	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43257977334088 38.21877680673328 210.47607933254656 16.0	48.4325797733	38.2187768067	210.476079333	16.0		3698766	d91b9af1-cfd8-426a-9f5a-e4a0193b491e	2017-05-17T12:26:31	16
16	2017-05-17T10:48:59.641+03	2017-05-17T10:50:26.174+03	2017-05-17	354619079757273	Slov 003	Аптека	Pharmacy	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.432652075149875 38.218636917345506 199.2500558840088 32.0	48.4326520751	38.2186369173	199.250055884	32.0		3698767	9cad95f2-6f62-44b4-91ac-837c15602a40	2017-05-17T12:26:32	17
17	2017-05-17T10:50:59.772+03	2017-05-17T10:52:39.020+03	2017-05-17	354619079757273	Slov 003	Торговый центр Космос	Supermarket	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.432691777087335 38.21818343609949 231.76308404722138 32.0	48.4326917771	38.2181834361	231.763084047	32.0		3698769	f4df523b-d1dc-4634-84d8-a5036743b67f	2017-05-17T12:26:33	18
18	2017-05-17T10:56:07.089+03	2017-05-17T10:57:18.786+03	2017-05-17	354619079757273	Slov 003	Стоймаг	Supermarket	Active / operating	Donetska	Bakhmutskyi	Svitlodarsk	Yes	48.43397334473691 38.21616068791211 205.61325335258215 6.0	48.4339733447	38.2161606879	205.613253353	6.0		3698770	5139eefc-91c0-4a4a-aaab-f13dfcb8e944	2017-05-17T12:26:35	19
19	2017-05-17T11:29:31.606+03	2017-05-17T11:34:10.460+03	2017-05-17	354619079756564	Slov 004	Почта	Post office	Active / operating	Donetska	Bakhmutskyi	Luhanske	Yes	48.444218159543354 38.255698870251365 156.26337376860434 12.0	48.4442181595	38.2556988703	156.263373769	12.0		3698799	a4ca8485-5a06-46af-a251-08e1118392af	2017-05-17T12:29:32	20
