KOATUU;community_id;communities;community_name;question_name;question_label;question_type;representation;value_clean
4423810800;4423810800;5;Zolote;comm_q1;Does the community have a police station?;select_one;Yes/No;0
4423810800;4423810800_1;5;Zolote (Rodina);comm_q17;Are construction materials available in the community markets or in nearby markets?;select_one;Category;Not available
4423810800;4423810800_2;5;Zolote 1;comm_q17;Are construction materials available in the community markets or in nearby markets?;select_one;Category;Available
4423810800;4423810800_3;5;Zolote 2;comm_q17;Are construction materials available in the community markets or in nearby markets?;select_one;Category;Available
4423810800;4423810800_4;5;Zolote 3;comm_q17;Are construction materials available in the community markets or in nearby markets?;select_one;Category;Limited availability
4423810800;4423810800_5;5;Zolote 4;comm_q17;Are construction materials available in the community markets or in nearby markets?;select_one;Category;Available
4423810800;4423810800;5;Zolote;comm_q3;Does the community have a local court?;select_one;Yes/No;0
4423810800;4423810800_1;5;Zolote (Rodina);comm_q66;Are there any landmines/other ERW in community?;select_one;Category;Landmines/ERW are present
4423810800;4423810800_2;5;Zolote 1;comm_q66;Are there any landmines/other ERW in community?;select_one;Category;Landmines/ERW are present
4423810800;4423810800_3;5;Zolote 2;comm_q66;Are there any landmines/other ERW in community?;select_one;Category;Landmines/ERW are present
4423810800;4423810800_4;5;Zolote 3;comm_q66;Are there any landmines/other ERW in community?;select_one;Category;Landmines/ERW are not present
4423810800;4423810800_5;5;Zolote 4;comm_q66;Are there any landmines/other ERW in community?;select_one;Category;Landmines/ERW are present
4423810800;4423810800_1;5;Zolote (Rodina);comm_q69;Are there any child friendly space in the community?;select_one;Category;No
4423810800;4423810800_2;5;Zolote 1;comm_q69;Are there any child friendly space in the community?;select_one;Category;Insufficient
4423810800;4423810800_3;5;Zolote 2;comm_q69;Are there any child friendly space in the community?;select_one;Category;Insufficient
4423810800;4423810800_4;5;Zolote 3;comm_q69;Are there any child friendly space in the community?;select_one;Category;Insufficient
4423810800;4423810800_5;5;Zolote 4;comm_q69;Are there any child friendly space in the community?;select_one;Category;Insufficient
4423810800;4423810800_1;5;Zolote (Rodina);comm_q71;Are psycho-social support services available in the community?;select_one;Category;Required
4423810800;4423810800_2;5;Zolote 1;comm_q71;Are psycho-social support services available in the community?;select_one;Category;Required
4423810800;4423810800_3;5;Zolote 2;comm_q71;Are psycho-social support services available in the community?;select_one;Category;Required
4423810800;4423810800_4;5;Zolote 3;comm_q71;Are psycho-social support services available in the community?;select_one;Category;Not required
4423810800;4423810800_5;5;Zolote 4;comm_q71;Are psycho-social support services available in the community?;select_one;Category;Required
4423810800;4423810800_1;5;Zolote (Rodina);comm_q72;At which frequency has the community experienced shelling in the last 3 months?;select_one;Category;Daily
4423810800;4423810800_2;5;Zolote 1;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;select_one;Category;Infrequently
4423810800;4423810800_3;5;Zolote 2;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;select_one;Category;Infrequently
4423810800;4423810800_4;5;Zolote 3;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;select_one;Category;Infrequently
4423810800;4423810800_5;5;Zolote 4;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;select_one;Category;Infrequently
4423810800;4423810800_1;5;Zolote (Rodina);comm_q73;What is the primary source of drinking water in the community?;select_one;Category;
4423810800;4423810800_2;5;Zolote 1;comm_q73;What is the primary source of drinking water in the community?;select_one;Category;
4423810800;4423810800_3;5;Zolote 2;comm_q73;What is the primary source of drinking water in the community?;select_one;Category;
4423810800;4423810800_4;5;Zolote 3;comm_q73;What is the primary source of drinking water in the community?;select_one;Category;
4423810800;4423810800_5;5;Zolote 4;comm_q73;What is the primary source of drinking water in the community?;select_one;Category;
