KOATUU;Relevant Community;question_id;question;response;Clarification;Number Responded
1410200000;Avdiivka;comm_q1;Does the community have a police station?;Yes, functioning;Not needed;5
1410200000;Avdiivka;comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, infrequently' and some of them 'Yes, daily';Clarified;
1410200000;Avdiivka;comm_q13;Have there been any gas shortages in the last 3 months?;No;Not needed;5
1410200000;Avdiivka;comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1410200000;Avdiivka;comm_q15;Have there been any heating shortages during the last winter?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1410200000;Avdiivka;comm_q17;Are construction materials available in the community markets or in nearby markets?;Almost fully available;Clarified;
1410200000;Avdiivka;comm_q3;Does the community have a local court?;No;Clarified;
1410200000;Avdiivka;comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1410200000;Avdiivka;comm_q69;Are there any child friendly space in the community?;Yes, sufficient;Not needed;5
1410200000;Avdiivka;comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Not needed;5
1410200000;Avdiivka;comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Not needed;5
1410200000;Avdiivka;comm_q73;What is the primary source of drinking water in the community?;piped drinking water;Not needed;5
1410200000;Avdiivka;comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
1410200000;Avdiivka (Old Town);comm_q1;Does the community have a police station?;Yes, functioning;Not needed;4
1410200000;Avdiivka (Old Town);comm_q12;Have there been any electricity shortages in the last 3 months?;Most of respondents 'Yes, weekly' and some of them 'Yes, infrequently';Clarified;
1410200000;Avdiivka (Old Town);comm_q13;Have there been any gas shortages in the last 3 months?;Most of respondents 'No' and some of them 'Yes, infrequently';Clarified;
1410200000;Avdiivka (Old Town);comm_q14;Have there been any water shortages in the past three months?;Equally distributed (look at the options);Clarified;
1410200000;Avdiivka (Old Town);comm_q15;Have there been any heating shortages during the last winter?;Equally distributed (look at the options);Clarified;
1410200000;Avdiivka (Old Town);comm_q17;Are construction materials available in the community markets or in nearby markets?;Almost fully available;Clarified;
1410200000;Avdiivka (Old Town);comm_q3;Does the community have a local court?;No;Not needed;2
1410200000;Avdiivka (Old Town);comm_q66;Are there any landmines/other ERW in community?;"Landmines\ERW are present;";Not needed;4
1410200000;Avdiivka (Old Town);comm_q69;Are there any child friendly space in the community?;Yes, insufficient;Clarified;
1410200000;Avdiivka (Old Town);comm_q71;Are psycho-social support services available in the community?;Yes, insufficient;Clarified;
1410200000;Avdiivka (Old Town);comm_q72;At which frequency has the community experienced shelling in the last 3 months?;Daily;Clarified;
1410200000;Avdiivka (Old Town);comm_q73;What is the primary source of drinking water in the community?;Most of respondents 'piped drinking water' and some of them 'bottled';Clarified;
1410200000;Avdiivka (Old Town);comm_q74;Do most households treat the water before drinking?;Yes;Clarified;
